UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,temp_gap,power,wear_rate,heat_stress,stress_index
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,449.4,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,0.002130681818181818,486.15,138.89999999999998
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,0.0033377837116154874,513.7599999999989,247.0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.004884856943475227,410.8000000000013,276.5
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.006392045454545455,420.0,360.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.0077192982456140355,439.95,460.90000000000003
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.008985879332477536,445.2,593.6
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.010478061558611657,422.1,643.2
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,0.010797840431913617,297.4399999999994,514.8000000000001
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.012062033314187249,294.0,588.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,0.013468013468013467,250.95,573.5999999999999
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,0.020379479971890373,465.15,1284.6999999999998
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.02539208364451083,536.5500000000001,1737.4000000000003
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,0.02123995407577497,317.999999999999,1110.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,0.019656019656019656,207.75999999999934,784.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.027237354085603113,513.0399999999984,2032.8000000000002
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.033562166285278416,493.95999999999844,2050.4
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,0.03333333333333333,478.8,2143.2
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.03828483920367534,566.7999999999988,2725.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,0.03370098039215686,338.00000000000114,1787.5
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0.04218181818181818,444.08000000000146,2476.6000000000004
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,0.043448275862068966,470.4,2822.3999999999996
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,0.041113219481340925,319.28000000000105,1995.5
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,0.038680318543799774,267.2799999999994,1747.6000000000001
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,0.04484304932735426,387.9199999999991,2610.9999999999995
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,0.03922622246104245,244.65,1700.9
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,0.0496031746031746,405.5999999999991,2925.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,0.04251794588625069,253.3799999999989,1894.2000000000003
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,0.05698401667824878,455.259999999998,3624.4
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,0.049616066154754876,313.03999999999934,2528.4
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,0.0642270351008215,501.27999999999895,4145.2
